Message ID,Session ID,Project,Role,Timestamp
185,,InfoBotDataset.pdf,user,2026-03-18T15:05:03.072901
186,,InfoBotDataset.pdf,ai,2026-03-18T15:05:03.080675
187,,InfoBotDataset.pdf,user,2026-03-18T15:05:27.751607
188,,InfoBotDataset.pdf,ai,2026-03-18T15:05:27.758055
189,,InfoBotDataset.pdf,user,2026-03-18T15:06:00.420624
190,,InfoBotDataset.pdf,ai,2026-03-18T15:06:00.428048
191,,InfoBotDataset.pdf,user,2026-03-18T15:06:06.020375
192,,InfoBotDataset.pdf,ai,2026-03-18T15:06:06.027115
193,,InfoBotDataset.pdf,user,2026-03-18T15:06:12.654136
194,,InfoBotDataset.pdf,ai,2026-03-18T15:06:12.661392
195,,InfoBotDataset.pdf,user,2026-03-18T15:06:21.679174
196,,InfoBotDataset.pdf,ai,2026-03-18T15:06:21.685643
197,,InfoBotDataset.pdf,user,2026-03-18T15:06:40.124573
198,,InfoBotDataset.pdf,ai,2026-03-18T15:06:40.131952
199,,InfoBotDataset.pdf,user,2026-03-18T15:06:49.698999
200,,InfoBotDataset.pdf,ai,2026-03-18T15:06:49.703539
201,,Lumira,user,2026-03-19T03:56:31.976496
202,,Lumira,ai,2026-03-19T03:56:32.010742
203,,Lumira,user,2026-03-19T03:57:19.016859
204,,Lumira,ai,2026-03-19T03:57:19.050674
205,,InfoBotDataset.pdf,user,2026-03-19T03:59:04.650804
206,,InfoBotDataset.pdf,ai,2026-03-19T03:59:04.683792
207,,InfoBotDataset.pdf,user,2026-03-19T03:59:25.385412
208,,InfoBotDataset.pdf,ai,2026-03-19T03:59:25.420667
209,,InfoBotDataset.pdf,user,2026-03-19T03:59:49.814579
210,,InfoBotDataset.pdf,ai,2026-03-19T03:59:49.848316
211,,InfoBotDataset.pdf,user,2026-03-19T04:00:11.686208
212,,InfoBotDataset.pdf,ai,2026-03-19T04:00:11.720902
213,,InfoBotDataset.pdf,user,2026-03-19T04:01:09.540615
214,,InfoBotDataset.pdf,ai,2026-03-19T04:01:09.574688
215,,InfoBotDataset.pdf,user,2026-03-19T04:01:36.163146
216,,InfoBotDataset.pdf,ai,2026-03-19T04:01:36.198861
217,,InfoBotDataset.pdf,user,2026-03-19T04:02:18.183841
218,,InfoBotDataset.pdf,ai,2026-03-19T04:02:18.189380
219,,InfoBotDataset.pdf,user,2026-03-19T04:03:06.230439
220,,InfoBotDataset.pdf,ai,2026-03-19T04:03:06.266129
221,,InfoBotDataset.pdf,user,2026-03-19T04:10:14.346941
222,,InfoBotDataset.pdf,ai,2026-03-19T04:10:14.383085
223,,NutriSwapDataset.pdf,user,2026-03-19T04:10:20.366713
224,,NutriSwapDataset.pdf,ai,2026-03-19T04:10:20.400464
225,,InfoBotDataset.pdf,user,2026-03-19T04:10:37.228487
226,,InfoBotDataset.pdf,ai,2026-03-19T04:10:37.233273
227,,InfoBotDataset.pdf,user,2026-03-19T04:11:49.883681
228,,InfoBotDataset.pdf,ai,2026-03-19T04:11:49.917682
229,,InfoBotDataset.pdf,user,2026-03-19T04:12:15.773153
230,,InfoBotDataset.pdf,ai,2026-03-19T04:12:15.807135
231,,InfoBotDataset.pdf,user,2026-03-19T04:15:13.157659
232,,InfoBotDataset.pdf,ai,2026-03-19T04:15:13.198255
233,,InfoBotDataset.pdf,user,2026-03-19T04:15:23.456061
234,,InfoBotDataset.pdf,ai,2026-03-19T04:15:23.489733
235,,InfoBotDataset.pdf,user,2026-03-19T04:16:05.516963
236,,InfoBotDataset.pdf,ai,2026-03-19T04:16:05.549586
237,,InfoBotDataset.pdf,user,2026-03-19T13:07:38.466574
238,,InfoBotDataset.pdf,ai,2026-03-19T13:07:38.468005
239,,InfoBotDataset.pdf,user,2026-03-19T13:15:55.735848
240,,InfoBotDataset.pdf,ai,2026-03-19T13:15:55.742303
241,,InfoBotDataset.pdf,user,2026-03-19T13:16:05.388656
242,,InfoBotDataset.pdf,ai,2026-03-19T13:16:05.394977
